,Start,Finish,Steps (count),Day of week,hour,date
279,2022-01-12 15:00:00,12-Jan-2022 16:00,2031,Wednesday,15,2022-01-12
280,2022-01-12 16:00:00,12-Jan-2022 17:00,1179,Wednesday,16,2022-01-12
281,2022-01-12 17:00:00,12-Jan-2022 18:00,787,Wednesday,17,2022-01-12
282,2022-01-12 18:00:00,12-Jan-2022 19:00,29,Wednesday,18,2022-01-12
283,2022-01-12 19:00:00,12-Jan-2022 20:00,109,Wednesday,19,2022-01-12
284,2022-01-12 20:00:00,12-Jan-2022 21:00,205,Wednesday,20,2022-01-12
285,2022-01-12 21:00:00,12-Jan-2022 22:00,134,Wednesday,21,2022-01-12
286,2022-01-12 22:00:00,12-Jan-2022 23:00,0,Wednesday,22,2022-01-12
287,2022-01-12 23:00:00,13-Jan-2022 00:00,111,Wednesday,23,2022-01-12
288,2022-01-13 00:00:00,13-Jan-2022 01:00,0,Thursday,0,2022-01-13
289,2022-01-13 01:00:00,13-Jan-2022 02:00,0,Thursday,1,2022-01-13
290,2022-01-13 02:00:00,13-Jan-2022 03:00,0,Thursday,2,2022-01-13
291,2022-01-13 03:00:00,13-Jan-2022 04:00,0,Thursday,3,2022-01-13
292,2022-01-13 04:00:00,13-Jan-2022 05:00,0,Thursday,4,2022-01-13
293,2022-01-13 05:00:00,13-Jan-2022 06:00,0,Thursday,5,2022-01-13
294,2022-01-13 06:00:00,13-Jan-2022 07:00,0,Thursday,6,2022-01-13
295,2022-01-13 07:00:00,13-Jan-2022 08:00,1015,Thursday,7,2022-01-13
296,2022-01-13 08:00:00,13-Jan-2022 09:00,0,Thursday,8,2022-01-13
297,2022-01-13 09:00:00,13-Jan-2022 10:00,1301,Thursday,9,2022-01-13
298,2022-01-13 10:00:00,13-Jan-2022 11:00,1461,Thursday,10,2022-01-13
299,2022-01-13 11:00:00,13-Jan-2022 12:00,316,Thursday,11,2022-01-13
300,2022-01-13 12:00:00,13-Jan-2022 13:00,51,Thursday,12,2022-01-13
301,2022-01-13 13:00:00,13-Jan-2022 14:00,174,Thursday,13,2022-01-13
302,2022-01-13 14:00:00,13-Jan-2022 15:00,1970,Thursday,14,2022-01-13
303,2022-01-13 15:00:00,13-Jan-2022 16:00,1888,Thursday,15,2022-01-13
304,2022-01-13 16:00:00,13-Jan-2022 17:00,303,Thursday,16,2022-01-13
305,2022-01-13 17:00:00,13-Jan-2022 18:00,245,Thursday,17,2022-01-13
306,2022-01-13 18:00:00,13-Jan-2022 19:00,148,Thursday,18,2022-01-13
307,2022-01-13 19:00:00,13-Jan-2022 20:00,83,Thursday,19,2022-01-13
308,2022-01-13 20:00:00,13-Jan-2022 21:00,0,Thursday,20,2022-01-13
309,2022-01-13 21:00:00,13-Jan-2022 22:00,123,Thursday,21,2022-01-13
310,2022-01-13 22:00:00,13-Jan-2022 23:00,0,Thursday,22,2022-01-13
311,2022-01-13 23:00:00,14-Jan-2022 00:00,124,Thursday,23,2022-01-13
312,2022-01-14 00:00:00,14-Jan-2022 01:00,0,Friday,0,2022-01-14
313,2022-01-14 01:00:00,14-Jan-2022 02:00,0,Friday,1,2022-01-14
